id,density
mp-7277,5.39802176
mp-29693,3.294289648
mp-862631,6.830612284
mp-614603,3.554949583
mp-571418,4.63547016
mp-5513,5.821252442
mp-505113,4.320556053
mp-1103379,3.977594552
mp-8361,4.534723147
mp-22922,5.356180845
mp-638685,4.184414133
mp-29845,4.166217549
mp-1025201,2.890750328
mp-505634,4.526485814
mp-23260,4.89938519
mp-1202720,3.334344232
mp-1192709,4.232874287
mp-10401,6.480473536
mp-30236,6.058135249
mp-28315,3.63781843
mp-28932,4.320928072
mp-1104024,4.007957892
mp-28271,4.099409361
mp-23541,4.151288825
mp-1208111,6.279526365
mp-1112176,4.035467157
mp-998746,5.328087251
mp-998743,3.921404834
mp-607987,3.77930752
mp-680294,5.444581133
mp-1188821,4.058849059
mp-864783,10.70896207
mp-23319,2.918944246
mp-1069771,4.7100588
mp-1194135,4.363451362
mp-1193312,4.280429459
mp-28306,3.825775716
mp-11694,5.345125448
mp-651332,3.351731376
mp-30373,6.32104505
mp-669304,4.195472857
mp-28564,3.793359293
mp-23436,4.000607836
mp-27213,4.846094307
mp-541134,4.072531073
mp-567942,3.621799441
mp-1208162,6.396687824
mp-1114507,5.128981513
mp-1070356,4.830611913
mp-22903,3.359968009
mp-28394,6.128707901
mp-561639,3.786407951
mp-23216,2.994719924
mp-567644,4.276752124
mp-1192769,3.899354938
mp-17811,4.020174245
mp-1211043,3.325535042
mp-23539,3.193683999
mp-1539667,4.018784958
mp-1077942,4.213801029
mp-27381,4.44910395
mp-571102,6.05014633
mp-9274,6.424546943
mp-569348,4.303346834
mp-17207,6.152730127
mp-23065,3.738657092
mp-27882,3.096268876
mp-865800,11.61311667
mp-570300,4.61865574
mp-569442,3.567077159
mp-1196396,7.061995454
mp-30056,3.562563217
mp-1539446,3.64334009
mp-1205316,6.215839293
mp-1208879,4.707990493
mp-7447,3.777498349
mp-28217,5.213841871
mp-1213834,3.67233626
mp-573755,5.898250069
mp-1201016,4.183524403
mp-1183950,4.123826991
mp-28650,3.639105175
mp-1208424,3.643513216
mp-540839,4.983584807
mp-574599,5.817990313
mp-541646,3.481234448
mp-1193232,3.824345869
mp-541696,3.828249837
mp-1204783,3.469457945
mp-559356,6.299838303
mp-7562,6.353805344
mp-1192816,3.913749936
mp-29194,5.726763411
mp-610744,4.225728035
mp-23406,3.733979979
mp-1105915,4.243776148
mp-4988,4.936879271
mp-1208164,6.369834646
mp-1077383,5.551702613
mp-540940,6.519442359
mp-28730,3.884658394
mp-1206891,5.615718481
mp-541378,4.689594847
